0               0	
0.02793296	-1.42E-05
0.1396648	3.56E-05
0.3631285	3.56E-05
0.5586592	3.56E-05
0.726257	3.56E-05
0.8938547	3.56E-05
1.089385	8.53E-05
1.22905	8.53E-05
1.368715	0.000135135
1.564246	0.000135135
1.815642	0.000135135
1.955307	0.000135135
2.094972	0.000135135
2.374302	-1.42E-05
2.569832	3.56E-05
2.73743	-0.000113798
2.877095	-0.000163585
3.072626	-0.000263158
3.212291	-0.000312945
3.407821	-0.000462304
3.631285	-0.000611664
3.77095	-0.000661451
3.882682	-0.000810811
4.050279	-0.001009957
4.217877	-0.001308677
4.357542	-0.001507824
4.52514	-0.00170697
4.72067	-0.00185633
4.944134	-0.00200569
5.083799	-0.00215505
5.251397	-0.002254623
5.47486	-0.002354196
5.614525	-0.00245377
5.782123	-0.002603129
5.921788	-0.002603129
6.061453	-0.002802276
6.22905	-0.002802276
6.480447	-0.002951636
6.787709	-0.002951636
7.122905	-0.003001422
7.458101	-0.002553343
7.653631	-0.00215505
7.793296	-0.001806543
7.960894	-0.001458037
8.072626	-0.001009957
8.156425	-0.000711238
8.407821	-0.000412518
8.519553	-0.000113798
8.575419	0.000135135
8.687151	0.000433855
8.743017	0.000782361
8.854749	0.001379801
9.022346	0.0021266
9.106145	0.00272404
9.162011	0.003122333
9.24581	0.003769559
9.329609	0.004516358
9.441341	0.005163585
9.608939	0.005810811
9.692737	0.00640825
9.748603	0.007055477
9.860335	0.007503556
9.944134	0.008200569
10	0.008897582
10.0838	0.009345661
10.1676	0.009793741
10.3352	0.01049075
10.41899	0.01118777
10.55866	0.01183499
10.67039	0.01228307
10.78212	0.01278094
10.83799	0.01317923
10.92179	0.01347795
10.97765	0.01387624
11.17318	0.01427454
11.22905	0.01462304
11.31285	0.01492176
11.39665	0.0151707
11.42458	0.01541963
11.64804	0.01571835
11.81564	0.01581792
12.20207	0.01613636
12.65363	0.01596728
12.87709	0.01561878
13.01676	0.01527027
13.15642	0.01467283
13.32402	0.01427454
13.37989	0.01382646
13.54749	0.01342817
13.71508	0.01298009
13.88268	0.01228307
13.96648	0.01158606
14.05028	0.01118777
14.27374	0.01059033
14.35754	0.01004267
14.46927	0.009345661
14.58101	0.008897582
14.6648	0.008449502
14.80447	0.007901849
14.86034	0.007354196
14.97207	0.00670697
15.11173	0.006109531
15.13966	0.005512091
15.27933	0.005113798
15.41899	0.004317212
15.58659	0.003719772
15.72626	0.002624467
15.94972	0.00197724
16.17318	0.001330014
16.45251	0.000832148
16.81564	0.000135135
16.95531	-0.000512091
17.17877	-0.001209104
17.3743	-0.001756757
17.59777	-0.00245377
17.7933	-0.002702703
17.87709	-0.003250356
18.01676	-0.003847795
18.24022	-0.004544808
18.40782	-0.005291607
18.46369	-0.005938834
18.68715	-0.006834993
18.85475	-0.007382646
18.99441	-0.008129445
19.10615	-0.008527738
19.27374	-0.009224751
19.55307	-0.009772404
19.6648	-0.01022048
19.77654	-0.01056899
20	-0.0109175
20.2514	-0.011266
20.39106	-0.01156472
20.58659	-0.01136558
20.69832	-0.0109175
20.81006	-0.01046942
20.97765	-0.01007112
21.11732	-0.009473684
21.17318	-0.008726885
21.20112	-0.007930299
21.31285	-0.007283073
21.36872	-0.006486486
21.42458	-0.005889047
21.50838	-0.005341394
21.50838	-0.004893314
21.53631	-0.004345661
21.62011	-0.003798009
21.70391	-0.003300142
21.73184	-0.002702703
21.81564	-0.002105263
21.89944	-0.001507824
21.92737	-0.000960171
22.03911	-0.000462304
22.15084	3.56E-05
22.2067	0.000483642
22.34637	0.001031294
22.48603	0.001081081
